Row ID,Projected Annual Salary
114364,$38857.68
114365,$38857.68
114366,$35078.40
114367,$35078.40
114368,$35078.40
114369,$35078.40
114370,$38857.68
114372,$38857.68
114373,$35078.40
117505,$38920.32
117513,$41070.96
117514,$41070.96
117520,$43221.60
117524,$43221.60
117528,$43221.60
117529,$43221.60
117536,$41029.20
117538,$43221.60
117544,$43221.60
117555,$43221.60
117556,$43221.60
117557,$43221.60
117559,$43221.60
117563,$43221.60
117580,$41070.96
117581,$41070.96
117588,$41070.96
117596,$41070.96
117598,$41070.96
117599,$38920.32
117608,$41070.96
117610,$38920.32
117611,$41070.96
117614,$43221.60
117615,$41070.96
117618,$38920.32
117619,$38920.32
117620,$43221.60
117630,$43158.96
117631,$57942.00
117632,$41070.96
117666,$39985.20
117678,$38920.32
117697,$209823.12
117705,$41070.96
117721,$40903.92
117735,$38920.32
117738,$41070.96
117756,$38920.32
117759,$38920.32
117776,$38857.68
117812,$36080.64
117813,$38920.32
117821,$32176.08
117841,$34911.36
117864,$32176.08
117865,$36080.64
117881,$36080.64
117882,$32176.08
117894,$36080.64
117897,$38920.32
117907,$41070.96
117913,$38920.32
117921,$38920.32
117924,$32176.08
117931,$54123.83
117940,$54123.83
117943,$36080.64
117944,$36080.64
117947,$36080.64
117963,$36080.64
117965,$36080.64
117966,$54123.83
117976,$36080.64
118000,$38920.32
118034,$32176.08
118086,$44453.52
118087,$35871.84
118088,$36080.64
118089,$32176.08
118092,$38857.68
118111,$36080.64
118112,$36080.64
118115,$38920.32
118433,$47502.00
118434,$40340.16
118435,$40340.16
118436,$41822.64
118437,$40340.16
118438,$40340.16
118439,$40340.16
118442,$40340.16
118443,$47502.00
118445,$41822.64
118460,$92728.08
118461,$54726.48
118462,$54726.48
118465,$33366.24
118466,$41822.64
118469,$41822.64
118470,$51531.84
118472,$33366.24
118482,$33366.24
118483,$33366.24
119317,$39926.21
119320,$39926.21
119322,$43326.00
119323,$38857.68
119333,$38857.68
119334,$41029.20
119335,$32176.08
119339,$39926.21
119340,$39926.21
119349,$41029.20
119350,$39926.21
119351,$39926.21
119352,$39926.21
119356,$41029.20
119359,$34911.36
119360,$32176.08
119372,$38857.68
119374,$39926.21
119375,$38857.68
119377,$38857.68
119378,$38857.68
119388,$39926.21
119389,$32176.08
119421,$38857.68
119422,$38857.68
119435,$32176.08
119436,$38857.68
119437,$38857.68
119438,$32176.08
119439,$32176.08
119443,$32176.08
119450,$34911.36
119463,$32176.08
119464,$0.00
119467,$39926.21
119469,$34911.36
119472,$32176.08
119480,$0.00
119481,$32176.08
119487,$0.00
119605,$35997.12
119606,$35997.12
119607,$29294.64
119614,$35997.12
119616,$29294.64
119617,$29294.64
119622,$42887.52
119623,$42887.52
120530,$50383.44
120567,$80012.16
120665,$34911.36
120671,$51218.64
120672,$52513.20
120673,$42261.12
120689,$41133.60
120696,$41133.60
120697,$42261.12
120698,$41133.60
120705,$41133.60
120711,$41133.60
120712,$40026.96
120713,$36853.20
120719,$34911.36
120728,$34911.36
120729,$35871.84
120735,$34911.36
120736,$30359.52
120739,$34911.36
120740,$34911.36
120741,$35871.84
120742,$34911.36
120747,$34911.36
120748,$34911.36
120757,$33825.60
120758,$27666.00
120770,$34911.36
120771,$34911.36
120776,$34911.36
120786,$34911.36
120787,$30359.52
120801,$29211.12
120812,$30359.52
120813,$32176.08
120814,$32176.08
120817,$27144.00
120818,$27144.00
120819,$27666.00
120820,$34911.36
120821,$27666.00
120822,$34911.36
120823,$27144.00
120824,$30359.52
120833,$30359.52
120834,$30359.52
120852,$27144.00
120854,$27144.00
120875,$27144.00
120876,$27144.00
120877,$27144.00
120878,$27144.00
120883,$27144.00
120884,$27144.00
120891,$27144.00
120892,$27144.00
120902,$27144.00
120903,$27144.00
120904,$27144.00
120924,$27144.00
120953,$27144.00
120961,$27144.00
